index,rating,response_rating,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,llama3:70b,FP_FN_count
363,False,False,TN,FP,TN,1
345,True,True,TP,TP,FN,1
342,False,False,TN,FP,TN,1
493,False,False,TN,FP,TN,1
480,True,False,FN,TP,TP,1
465,False,False,TN,FP,TN,1
366,False,False,TN,FP,TN,1
445,False,False,TN,FP,TN,1
435,False,False,TN,FP,TN,1
389,True,True,TP,TP,FN,1
391,False,False,TN,TN,FP,1
393,False,False,TN,TN,FP,1
313,True,True,TP,TP,FN,1
396,False,False,TN,FP,TN,1
398,False,False,TN,TN,FP,1
399,False,False,TN,FP,TN,1
401,True,True,TP,TP,FN,1
402,False,False,TN,FP,TN,1
404,False,False,TN,FP,TN,1
405,False,False,TN,FP,TN,1
434,True,True,TP,TP,FN,1
428,False,False,TN,FP,TN,1
417,True,True,TP,FN,TP,1
443,False,False,TN,TN,FP,1
446,False,False,TN,FP,TN,1
367,True,False,FN,TP,TP,1
382,True,True,TP,TP,FN,1
474,True,False,FN,TP,TP,1
369,True,True,TP,FN,TP,1
418,True,True,TP,TP,FN,1
463,True,False,FN,TP,TP,1
372,False,False,TN,FP,TN,1
373,False,False,TN,FP,TN,1
374,True,True,TP,FN,TP,1
457,True,True,TP,TP,FN,1
456,False,False,TN,TN,FP,1
455,True,True,TP,FN,TP,1
378,True,False,FN,TP,TP,1
454,False,False,TN,TN,FP,1
452,False,False,TN,TN,FP,1
451,True,True,TP,TP,FN,1
380,True,True,TP,FN,TP,1
315,True,True,TP,TP,FN,1
216,True,False,FN,TP,TP,1
312,True,True,TP,TP,FN,1
135,False,False,TN,FP,TN,1
83,True,True,TP,FN,TP,1
85,False,False,TN,FP,TN,1
90,False,True,FP,TN,TN,1
92,False,False,TN,FP,TN,1
94,True,True,TP,FN,TP,1
95,False,False,TN,TN,FP,1
97,False,False,TN,TN,FP,1
99,True,False,FN,TP,TP,1
100,False,False,TN,TN,FP,1
112,True,False,FN,TP,TP,1
114,True,False,FN,TP,TP,1
118,True,True,TP,FN,TP,1
120,False,False,TN,FP,TN,1
122,False,False,TN,FP,TN,1
123,True,False,FN,TP,TP,1
125,True,False,FN,TP,TP,1
126,True,True,TP,TP,FN,1
128,True,True,TP,FN,TP,1
129,False,False,TN,FP,TN,1
130,True,True,TP,TP,FN,1
132,True,True,TP,TP,FN,1
82,False,False,TN,FP,TN,1
81,True,False,FN,TP,TP,1
78,False,True,FP,TN,TN,1
43,False,True,FP,TN,TN,1
9,True,False,FN,TP,TP,1
13,True,True,TP,FN,TP,1
17,False,False,TN,FP,TN,1
20,False,False,TN,TN,FP,1
25,True,True,TP,TP,FN,1
28,False,False,TN,FP,TN,1
33,False,False,TN,TN,FP,1
39,True,True,TP,FN,TP,1
42,True,True,TP,TP,FN,1
46,False,False,TN,FP,TN,1
74,True,False,FN,TP,TP,1
48,False,False,TN,FP,TN,1
49,False,False,TN,TN,FP,1
56,False,True,FP,TN,TN,1
59,True,True,TP,TP,FN,1
60,True,False,FN,TP,TP,1
61,True,True,TP,TP,FN,1
65,True,False,FN,TP,TP,1
68,True,True,TP,FN,TP,1
70,True,True,TP,TP,FN,1
134,False,False,TN,FP,TN,1
137,True,False,FN,TP,TP,1
310,False,False,TN,FP,TN,1
138,True,True,TP,TP,FN,1
219,True,True,TP,TP,FN,1
222,False,False,TN,FP,TN,1
224,False,False,TN,TN,FP,1
227,False,False,TN,TN,FP,1
232,False,False,TN,TN,FP,1
233,False,False,TN,TN,FP,1
234,True,True,TP,TP,FN,1
237,False,False,TN,TN,FP,1
240,True,False,FN,TP,TP,1
241,True,True,TP,TP,FN,1
243,False,False,TN,FP,TN,1
245,False,False,TN,TN,FP,1
249,False,False,TN,TN,FP,1
251,True,True,TP,FN,TP,1
255,False,False,TN,TN,FP,1
261,False,False,TN,FP,TN,1
264,False,False,TN,FP,TN,1
267,False,False,TN,FP,TN,1
282,False,False,TN,FP,TN,1
287,False,False,TN,FP,TN,1
309,False,False,TN,TN,FP,1
218,False,False,TN,TN,FP,1
214,True,True,TP,FN,TP,1
213,False,False,TN,FP,TN,1
160,True,True,TP,TP,FN,1
139,False,False,TN,FP,TN,1
141,True,False,FN,TP,TP,1
142,True,False,FN,TP,TP,1
143,False,False,TN,FP,TN,1
145,True,True,TP,TP,FN,1
146,True,True,TP,TP,FN,1
147,False,False,TN,FP,TN,1
150,True,True,TP,TP,FN,1
157,True,False,FN,TP,TP,1
166,False,True,FP,TN,TN,1
212,False,False,TN,TN,FP,1
177,False,False,TN,FP,TN,1
180,True,False,FN,TP,TP,1
182,True,False,FN,TP,TP,1
183,False,False,TN,FP,TN,1
190,False,False,TN,FP,TN,1
194,True,False,FN,TP,TP,1
201,False,False,TN,FP,TN,1
202,True,True,TP,FN,TP,1
205,False,False,TN,TN,FP,1
499,True,False,FN,TP,TP,1
