index,rating,response_rating,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,llama3:70b
75,True,False,FN,FN,FN
76,False,True,FP,FP,FP
77,False,False,TN,TN,TN
78,False,True,FP,TN,TN
79,False,False,TN,TN,TN
80,False,False,TN,FP,FP
81,True,False,FN,TP,TP
82,False,False,TN,FP,TN
83,True,True,TP,FN,TP
84,True,True,TP,TP,TP
85,False,False,TN,FP,TN
86,True,False,FN,FN,FN
87,False,False,TN,FP,FP
88,True,True,TP,TP,TP
89,True,False,FN,TP,FN
90,False,True,FP,TN,TN
91,True,True,TP,TP,TP
92,False,False,TN,FP,TN
93,False,False,TN,TN,TN
94,True,True,TP,FN,TP
95,False,False,TN,TN,FP
96,True,True,TP,TP,TP
97,False,False,TN,TN,FP
98,True,False,FN,TP,FN
99,True,False,FN,TP,TP
100,False,False,TN,TN,FP
101,True,True,TP,TP,TP
102,True,False,FN,FN,TP
103,True,True,TP,TP,TP
104,True,True,TP,TP,TP
105,True,True,TP,FN,FN
106,True,False,FN,TP,FN
107,False,False,TN,FP,FP
108,False,False,TN,TN,TN
109,False,False,TN,TN,TN
110,False,False,TN,TN,TN
111,False,False,TN,TN,TN
112,True,False,FN,TP,TP
113,False,False,TN,TN,TN
114,True,False,FN,TP,TP
115,True,False,FN,FN,FN
116,False,False,TN,TN,TN
117,False,False,TN,TN,TN
118,True,True,TP,FN,TP
119,False,False,TN,TN,TN
120,False,False,TN,FP,TN
121,False,False,TN,TN,TN
122,False,False,TN,FP,TN
123,True,False,FN,TP,TP
124,False,False,TN,TN,TN
125,True,False,FN,TP,TP
126,True,True,TP,TP,FN
127,False,False,TN,TN,TN
128,True,True,TP,FN,TP
129,False,False,TN,FP,TN
130,True,True,TP,TP,FN
131,True,True,TP,TP,TP
132,True,True,TP,TP,FN
133,True,True,TP,TP,TP
134,False,False,TN,FP,TN
135,False,False,TN,FP,TN
136,True,True,TP,TP,TP
137,True,False,FN,TP,TP
138,True,True,TP,TP,FN
139,False,False,TN,FP,TN
140,False,False,TN,TN,TN
141,True,False,FN,TP,TP
142,True,False,FN,TP,TP
143,False,False,TN,FP,TN
144,True,False,FN,TP,FN
145,True,True,TP,TP,FN
146,True,True,TP,TP,FN
147,False,False,TN,FP,TN
148,False,False,TN,TN,TN
149,True,True,TP,FN,FN
150,True,True,TP,TP,FN
151,True,False,FN,FN,TP
152,True,False,FN,FN,TP
153,False,False,TN,TN,TN
154,False,False,TN,FP,FP
156,False,False,TN,TN,TN
157,True,False,FN,TP,TP
158,True,True,TP,FN,FN
160,True,True,TP,TP,FN
161,True,True,TP,FN,FN
162,False,False,TN,FP,FP
163,True,True,TP,FN,FN
164,True,True,TP,FN,FN
165,True,False,FN,TP,FN
166,False,True,FP,TN,TN
167,False,False,TN,FP,FP
168,True,True,TP,FN,FN
169,False,False,TN,TN,TN
170,True,False,FN,TP,FN
171,True,False,FN,FN,FN
172,False,True,FP,FP,FP
173,True,True,TP,TP,TP
175,False,False,TN,TN,TN
176,True,False,FN,FN,FN
177,False,False,TN,FP,TN
178,True,True,TP,TP,TP
179,True,True,TP,TP,TP
180,True,False,FN,TP,TP
181,True,True,TP,FN,FN
182,True,False,FN,TP,TP
183,False,False,TN,FP,TN
184,True,False,FN,FN,FN
185,True,False,FN,FN,FN
186,True,True,TP,TP,TP
187,True,True,TP,TP,TP
188,False,False,TN,TN,TN
189,False,True,FP,TN,FP
190,False,False,TN,FP,TN
191,True,True,TP,TP,TP
192,True,True,TP,FN,FN
193,False,False,TN,FP,FP
194,True,False,FN,TP,TP
195,False,False,TN,TN,TN
196,True,False,FN,FN,TP
197,False,False,TN,TN,TN
198,False,False,TN,TN,TN
199,True,False,FN,TP,FN
200,False,False,TN,TN,TN
201,False,False,TN,FP,TN
202,True,True,TP,FN,TP
203,False,False,TN,FP,FP
204,False,True,FP,TN,FP
205,False,False,TN,TN,FP
206,False,False,TN,TN,TN
207,False,False,TN,TN,TN
208,False,False,TN,FP,FP
210,False,False,TN,TN,TN
211,True,True,TP,TP,TP
212,False,False,TN,TN,FP
213,False,False,TN,FP,TN
214,True,True,TP,FN,TP
215,False,False,TN,TN,TN
216,True,False,FN,TP,TP
217,False,False,TN,TN,TN
218,False,False,TN,TN,FP
219,True,True,TP,TP,FN
221,False,False,TN,TN,TN
222,False,False,TN,FP,TN
223,True,True,TP,FN,FN
224,False,False,TN,TN,FP
225,False,False,TN,TN,TN
226,False,True,FP,FP,FP
227,False,False,TN,TN,FP
228,False,False,TN,TN,TN
229,False,False,TN,TN,TN
230,True,True,TP,TP,TP
232,False,False,TN,TN,FP
233,False,False,TN,TN,FP
234,True,True,TP,TP,FN
235,False,False,TN,TN,TN
236,False,False,TN,TN,TN
237,False,False,TN,TN,FP
238,True,True,TP,TP,TP
239,True,True,TP,TP,TP
240,True,False,FN,TP,TP
241,True,True,TP,TP,FN
242,True,True,TP,TP,TP
243,False,False,TN,FP,TN
244,True,False,FN,FN,TP
245,False,False,TN,TN,FP
246,False,False,TN,TN,TN
248,False,False,TN,TN,TN
249,False,False,TN,TN,FP
250,False,False,TN,TN,TN
251,True,True,TP,FN,TP
252,False,False,TN,TN,TN
253,False,False,TN,TN,TN
254,False,False,TN,TN,TN
255,False,False,TN,TN,FP
256,False,False,TN,TN,TN
257,False,False,TN,TN,TN
258,False,False,TN,TN,TN
259,False,False,TN,TN,TN
260,False,False,TN,TN,TN
261,False,False,TN,FP,TN
263,False,False,TN,TN,TN
264,False,False,TN,FP,TN
266,False,False,TN,TN,TN
267,False,False,TN,FP,TN
268,True,True,TP,TP,TP
269,False,False,TN,TN,TN
270,False,False,TN,TN,TN
271,False,False,TN,TN,TN
272,True,True,TP,TP,TP
273,False,False,TN,TN,TN
277,False,False,TN,TN,TN
278,False,False,TN,TN,TN
279,False,False,TN,TN,TN
280,False,False,TN,TN,TN
281,False,False,TN,TN,TN
282,False,False,TN,FP,TN
283,False,False,TN,TN,TN
284,False,False,TN,TN,TN
285,False,False,TN,TN,TN
287,False,False,TN,FP,TN
288,False,False,TN,TN,TN
289,False,False,TN,TN,TN
290,False,False,TN,TN,TN
292,False,False,TN,TN,TN
293,True,True,TP,FN,FN
294,False,False,TN,TN,TN
295,False,False,TN,TN,TN
296,False,False,TN,TN,TN
297,False,False,TN,TN,TN
298,False,False,TN,TN,TN
299,False,False,TN,TN,TN
300,False,False,TN,TN,TN
301,False,False,TN,TN,TN
302,False,False,TN,TN,TN
304,False,False,TN,TN,TN
305,False,False,TN,TN,TN
306,False,False,TN,TN,TN
307,False,False,TN,TN,TN
308,False,False,TN,TN,TN
309,False,False,TN,TN,FP
310,False,False,TN,FP,TN
311,True,True,TP,TP,TP
312,True,True,TP,TP,FN
313,True,True,TP,TP,FN
314,False,False,TN,TN,TN
315,True,True,TP,TP,FN
316,False,False,TN,FP,FP
317,True,False,FN,TP,FN
318,False,False,TN,TN,FP
319,False,False,TN,TN,TN
320,False,False,TN,TN,FP
321,False,False,TN,FP,TN
322,True,True,TP,TP,TP
323,False,False,TN,TN,TN
324,False,False,TN,TN,TN
325,False,False,TN,TN,TN
326,True,True,TP,FN,FN
327,False,False,TN,TN,TN
328,False,False,TN,TN,TN
329,False,False,TN,TN,TN
330,False,False,TN,TN,TN
331,True,True,TP,TP,TP
332,False,False,TN,TN,TN
333,False,False,TN,FP,FP
334,False,True,FP,TN,FP
335,False,False,TN,TN,FP
336,False,True,FP,FP,TN
337,False,False,TN,FP,FP
338,False,False,TN,TN,TN
339,True,True,TP,TP,FN
340,True,True,TP,FN,FN
341,True,False,FN,TP,FN
342,False,False,TN,FP,TN
343,False,False,TN,FP,FP
344,False,False,TN,TN,TN
345,True,True,TP,TP,FN
346,True,True,TP,FN,FN
347,False,False,TN,TN,TN
348,False,False,TN,TN,TN
349,False,False,TN,TN,FP
350,False,False,TN,FP,TN
351,False,False,TN,TN,TN
352,True,True,TP,FN,TP
353,True,True,TP,TP,FN
354,False,False,TN,TN,TN
355,False,False,TN,TN,TN
356,True,False,FN,FN,FN
357,False,False,TN,FP,TN
358,True,True,TP,TP,TP
359,True,True,TP,FN,TP
360,False,False,TN,FP,TN
361,False,False,TN,FP,TN
362,False,False,TN,TN,TN
363,False,False,TN,FP,TN
364,True,True,TP,TP,TP
365,False,False,TN,TN,TN
366,False,False,TN,FP,TN
367,True,False,FN,TP,TP
368,False,False,TN,TN,TN
369,True,True,TP,FN,TP
370,True,True,TP,TP,TP
371,True,True,TP,TP,TP
372,False,False,TN,FP,TN
373,False,False,TN,FP,TN
374,True,True,TP,FN,TP
375,True,False,FN,TP,FN
376,True,True,TP,TP,TP
377,True,True,TP,TP,TP
378,True,False,FN,TP,TP
379,False,False,TN,TN,TN
380,True,True,TP,FN,TP
381,False,False,TN,TN,TN
382,True,True,TP,TP,FN
383,True,True,TP,TP,TP
384,True,True,TP,TP,TP
385,False,False,TN,TN,TN
386,False,False,TN,FP,FP
387,False,False,TN,TN,TN
388,False,False,TN,TN,TN
389,True,True,TP,TP,FN
390,True,True,TP,TP,TP
391,False,False,TN,TN,FP
392,False,False,TN,TN,TN
393,False,False,TN,TN,FP
394,False,False,TN,FP,FP
395,False,False,TN,FP,FP
396,False,False,TN,FP,TN
397,False,True,FP,TN,FP
398,False,False,TN,TN,FP
399,False,False,TN,FP,TN
400,False,False,TN,TN,TN
401,True,True,TP,TP,FN
402,False,False,TN,FP,TN
403,True,False,FN,TP,FN
404,False,False,TN,FP,TN
405,False,False,TN,FP,TN
406,False,False,TN,TN,TN
407,False,False,TN,TN,TN
408,False,True,FP,TN,FP
409,True,True,TP,TP,TP
410,False,False,TN,TN,TN
411,True,True,TP,TP,TP
412,False,False,TN,TN,TN
413,False,False,TN,TN,TN
414,True,False,FN,FN,FN
415,False,False,TN,TN,TN
416,False,False,TN,TN,TN
417,True,True,TP,FN,TP
418,True,True,TP,TP,FN
419,True,False,FN,TP,FN
420,False,False,TN,TN,TN
421,True,True,TP,TP,TP
422,True,True,TP,TP,TP
423,False,False,TN,TN,TN
424,False,False,TN,TN,TN
425,True,False,FN,FN,TP
426,False,False,TN,FP,FP
427,False,False,TN,TN,TN
428,False,False,TN,FP,TN
429,False,False,TN,TN,TN
430,False,False,TN,TN,TN
431,False,False,TN,TN,TN
432,False,False,TN,TN,TN
433,False,False,TN,TN,TN
434,True,True,TP,TP,FN
435,False,False,TN,FP,TN
436,False,False,TN,TN,TN
437,False,False,TN,TN,TN
438,False,False,TN,TN,TN
439,False,False,TN,TN,TN
440,False,False,TN,TN,TN
441,False,False,TN,TN,TN
442,False,False,TN,TN,TN
443,False,False,TN,TN,FP
444,False,False,TN,TN,TN
445,False,False,TN,FP,TN
446,False,False,TN,FP,TN
447,False,False,TN,TN,TN
448,False,False,TN,TN,TN
449,False,False,TN,TN,TN
450,False,False,TN,FP,FP
451,True,True,TP,TP,FN
452,False,False,TN,TN,FP
453,True,True,TP,TP,TP
454,False,False,TN,TN,FP
455,True,True,TP,FN,TP
456,False,False,TN,TN,FP
457,True,True,TP,TP,FN
458,False,False,TN,TN,TN
459,False,False,TN,FP,FP
460,True,False,FN,TP,FN
461,False,False,TN,TN,TN
462,True,True,TP,FN,FN
463,True,False,FN,TP,TP
465,False,False,TN,FP,TN
466,False,False,TN,TN,TN
467,False,False,TN,TN,TN
468,True,True,TP,TP,TP
469,False,True,FP,FP,TN
470,True,False,FN,TP,FN
471,False,False,TN,TN,TN
472,False,False,TN,TN,TN
473,False,False,TN,TN,TN
474,True,False,FN,TP,TP
475,False,False,TN,TN,FP
476,True,False,FN,TP,FN
478,False,False,TN,FP,TN
480,True,False,FN,TP,TP
481,True,True,TP,TP,FN
482,False,False,TN,TN,TN
483,False,False,TN,TN,TN
484,True,True,TP,TP,TP
485,True,False,FN,TP,FN
486,True,False,FN,TP,FN
487,True,False,FN,TP,FN
488,False,False,TN,TN,TN
489,False,False,TN,TN,TN
490,True,True,TP,TP,FN
491,True,False,FN,TP,FN
492,False,False,TN,TN,TN
493,False,False,TN,FP,TN
494,True,False,FN,TP,FN
495,True,True,TP,TP,FN
496,False,False,TN,FP,TN
497,False,False,TN,TN,TN
498,False,False,TN,TN,TN
499,True,False,FN,TP,TP
