index,rating,response_rating,gpt-4o-2024-05-13
269,FALSE,False,TN
270,FALSE,False,TN
271,FALSE,False,TN
272,TRUE,True,TP
273,FALSE,False,TN
277,FALSE,False,TN
278,FALSE,False,TN
279,FALSE,False,TN
280,FALSE,False,TN
281,FALSE,False,TN
282,FALSE,False,TN
283,FALSE,False,TN
284,FALSE,False,TN
285,FALSE,False,TN
287,FALSE,False,TN
288,FALSE,False,TN
289,FALSE,False,TN
290,FALSE,False,TN
292,FALSE,False,TN
293,TRUE,True,TP
294,FALSE,False,TN
295,FALSE,False,TN
296,FALSE,False,TN
297,FALSE,False,TN
298,FALSE,False,TN
299,FALSE,False,TN
300,FALSE,False,TN
301,FALSE,False,TN
302,FALSE,False,TN
304,FALSE,False,TN
305,FALSE,False,TN
306,FALSE,False,TN
307,FALSE,False,TN
308,FALSE,False,TN
309,FALSE,False,TN
310,FALSE,False,TN
311,TRUE,True,TP
312,TRUE,True,TP
313,TRUE,True,TP
314,FALSE,False,TN
315,TRUE,True,TP
316,FALSE,False,TN
317,TRUE,False,FN
318,FALSE,False,TN
319,FALSE,False,TN
320,FALSE,False,TN
321,FALSE,False,TN
322,TRUE,True,TP
323,FALSE,False,TN
324,FALSE,False,TN
325,FALSE,False,TN
326,TRUE,True,TP
327,FALSE,False,TN
328,FALSE,False,TN
329,FALSE,False,TN
330,FALSE,False,TN
331,TRUE,True,TP
332,FALSE,False,TN
333,FALSE,False,TN
334,FALSE,True,FP
335,FALSE,False,TN
336,FALSE,True,FP
337,FALSE,False,TN
338,FALSE,False,TN
339,TRUE,True,TP
340,TRUE,True,TP
341,TRUE,False,FN
342,FALSE,False,TN
343,FALSE,False,TN
344,FALSE,False,TN
345,TRUE,True,TP
346,TRUE,True,TP
347,FALSE,False,TN
348,FALSE,False,TN
349,FALSE,False,TN
350,False,False,TN
351,False,False,TN
352,True,True,TP
353,True,True,TP
354,False,False,TN
355,False,False,TN
356,True,False,FN
357,False,False,TN
358,True,True,TP
359,True,True,TP
360,False,False,TN
361,False,False,TN
362,False,False,TN
363,False,False,TN
364,True,True,TP
365,False,False,TN
366,False,False,TN
367,True,False,FN
368,False,False,TN
369,True,True,TP
370,True,True,TP
371,True,True,TP
372,False,False,TN
373,False,False,TN
374,True,True,TP
375,True,False,FN
376,True,True,TP
377,True,True,TP
378,True,False,FN
379,False,False,TN
380,True,True,TP
381,False,False,TN
382,True,True,TP
383,True,True,TP
384,True,True,TP
385,False,False,TN
386,False,False,TN
387,False,False,TN
388,False,False,TN
389,True,True,TP
390,True,True,TP
391,False,False,TN
392,False,False,TN
393,False,False,TN
394,False,False,TN
395,False,False,TN
396,False,False,TN
397,False,True,FP
398,False,False,TN
399,False,False,TN
400,False,False,TN
401,True,True,TP
402,False,False,TN
403,True,False,FN
404,False,False,TN
405,False,False,TN
406,False,False,TN
407,False,False,TN
408,False,True,FP
409,True,True,TP
410,False,False,TN
411,True,True,TP
412,False,False,TN
413,False,False,TN
414,True,False,FN
415,False,False,TN
416,False,False,TN
417,True,True,TP
418,True,True,TP
419,True,False,FN
420,False,False,TN
421,True,True,TP
422,True,True,TP
423,False,False,TN
424,False,False,TN
425,True,False,FN
426,False,False,TN
427,False,False,TN
428,False,False,TN
429,False,False,TN
430,False,False,TN
431,False,False,TN
432,False,False,TN
433,False,False,TN
434,True,True,TP
435,False,False,TN
436,False,False,TN
437,False,False,TN
438,False,False,TN
439,False,False,TN
440,False,False,TN
441,False,False,TN
442,False,False,TN
443,False,False,TN
444,False,False,TN
445,False,False,TN
446,False,False,TN
447,False,False,TN
448,False,False,TN
449,False,False,TN
450,FALSE,False,TN
451,TRUE,True,TP
452,FALSE,False,TN
453,TRUE,True,TP
454,FALSE,False,TN
455,TRUE,True,TP
456,FALSE,False,TN
457,TRUE,True,TP
458,FALSE,False,TN
459,FALSE,False,TN
460,TRUE,False,FN
461,FALSE,False,TN
462,TRUE,True,TP
463,TRUE,False,FN
465,FALSE,False,TN
466,FALSE,False,TN
467,FALSE,False,TN
468,TRUE,True,TP
469,FALSE,True,FP
470,TRUE,False,FN
471,FALSE,False,TN
472,FALSE,False,TN
473,FALSE,False,TN
474,TRUE,False,FN
475,FALSE,False,TN
476,TRUE,False,FN
478,FALSE,False,TN
480,TRUE,False,FN
481,TRUE,True,TP
482,FALSE,False,TN
483,FALSE,False,TN
484,TRUE,True,TP
485,TRUE,False,FN
486,TRUE,False,FN
487,TRUE,False,FN
488,FALSE,False,TN
489,FALSE,False,TN
490,TRUE,True,TP
491,TRUE,False,FN
492,FALSE,False,TN
493,FALSE,False,TN
494,TRUE,False,FN
495,TRUE,True,TP
496,FALSE,False,TN
497,FALSE,False,TN
498,FALSE,False,TN
499,TRUE,False,FN
