index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,context_length,context_relevance,TP_TN_count
278,False,TN,TN,FP,TN,2323,none,3
279,False,TN,TN,FP,TN,2264,none,3
280,False,FP,TN,FP,FP,2331,none,1
281,False,TN,TN,FP,TN,2343,none,3
282,False,FP,TN,FP,TN,2238,none,2
283,False,FP,TN,FP,TN,2163,none,2
284,False,TN,TN,FP,TN,2268,none,3
285,False,TN,TN,TN,TN,2374,none,4
287,False,TN,FP,TN,FP,2196,none,2
288,False,TN,TN,FP,TN,2338,none,3
289,False,TN,TN,FP,TN,2010,none,3
290,False,TN,TN,FP,TN,2271,none,3
292,False,FP,TN,FP,FP,2116,none,1
293,True,TP,FN,FP,TP,2292,none,2
294,False,TN,TN,TP,TN,2336,none,4
295,False,TN,TN,FP,TN,2346,none,3
296,False,FP,TN,FP,FP,2150,none,1
297,False,TN,TN,FP,TN,2361,none,3
298,False,FP,TN,FP,TN,2265,none,2
299,False,TN,TN,FP,TN,2323,none,3
300,False,TN,TN,FP,TN,2071,none,3
301,False,TN,TN,FP,TN,2206,none,3
302,False,TN,TN,TN,FP,2265,none,3
304,False,TN,TN,TN,FP,2298,none,3
305,False,FP,TN,TN,TN,2264,none,3
306,False,TN,TN,FP,TN,2257,none,3
307,False,TN,TN,FP,TN,2276,none,3
308,False,TN,TN,FP,TN,2322,none,3
309,False,FP,TN,FP,TN,2213,none,2
310,False,FP,TN,FP,FP,2276,none,1
311,True,TP,TP,FP,TP,2352,none,3
312,True,TP,TP,TP,TP,2331,none,4
313,True,TP,TP,TP,TP,2226,none,4
314,False,FP,TN,TP,TN,2064,none,3
315,True,TP,TP,FP,TP,2240,none,3
316,False,FP,TN,TP,TN,2352,none,3
317,True,TP,TP,FP,TP,2370,none,3
318,False,FP,TN,TP,FP,2215,none,2
319,False,FP,TN,FP,TN,2298,none,2
320,False,TN,TN,FP,FP,2445,none,2
321,False,FP,TN,FP,TN,2289,none,2
322,True,TP,TP,FP,TP,2025,none,3
323,False,TN,TN,TP,TN,2206,none,4
324,False,FP,TN,FP,TN,2273,none,2
325,False,TN,TN,FP,TN,2233,none,3
326,True,FN,FN,FP,TP,2233,none,1
327,False,FP,TN,TP,TN,2113,none,3
328,False,TN,TN,FP,TN,2129,none,3
329,False,TN,TN,FP,FP,2367,none,2
330,False,FP,TN,FP,TN,2231,none,2
331,True,TP,TP,TN,TP,2171,none,4
332,False,TN,TN,TP,FP,2103,none,3
333,False,FP,TN,TN,TN,2263,none,3
334,False,TN,TN,FP,FP,2412,none,2
335,False,FP,TN,FP,FP,2227,none,1
337,False,FP,TN,FP,FP,2245,none,1
338,False,FP,TN,FP,TN,2358,none,2
339,True,TP,TP,FP,TP,2273,none,3
340,True,TP,TP,TP,TP,2397,none,4
341,True,TP,FN,TP,FN,2398,none,2
342,False,FP,TN,TP,FP,2232,none,2
343,False,FP,FP,FP,TN,2144,none,1
344,False,FP,TN,FP,FP,2317,none,1
345,True,TP,TP,TN,TP,2235,none,4
346,True,TP,TP,TP,TP,2089,none,4
347,False,TN,TN,TP,TN,2196,none,4
348,False,TN,TN,TN,FP,2268,none,3
349,False,FP,TN,TN,TN,2213,none,3
350,False,FP,TN,FP,TN,2230,none,2
351,False,FP,TN,FP,FP,2364,none,1
352,True,TP,FN,FP,FN,2382,none,1
353,True,TP,FN,TP,FN,2481,none,2
354,False,FP,TN,TP,TN,2320,none,3
355,False,TN,TN,FP,TN,1942,none,3
356,True,TP,FN,TN,TP,2300,none,3
357,False,FP,TN,FN,TN,2352,none,2
358,True,TP,TP,TN,FN,2287,none,3
359,True,TP,TP,TP,TP,2346,none,4
360,False,FP,TN,TP,TN,2290,none,3
361,False,TN,TN,FP,FP,2405,none,2
362,False,TN,TN,FP,TN,1886,none,3
363,False,FP,TN,FP,TN,2351,none,2
364,True,TP,TP,FP,TP,2162,none,3
365,False,TN,TN,TP,FP,2195,none,3
366,False,TN,TN,FP,TN,2362,none,3
367,True,FN,TP,FP,TP,2355,none,2
368,False,FP,TN,TP,TN,2409,none,3
369,True,FN,FN,FP,TP,2375,none,1
370,True,TP,TP,TP,TP,2323,none,4
371,True,FN,TP,TP,TP,2169,none,3
372,False,FP,TN,TP,TN,2296,none,3
374,True,TP,TP,FP,TP,2255,none,3
375,True,TP,FN,TP,TP,2287,none,3
376,True,TP,TP,TP,TP,2215,none,4
377,True,TP,TP,TP,TP,2237,none,4
378,True,TP,FN,TP,TP,2236,none,3
379,False,FP,TN,TP,FP,2391,none,2
380,True,TP,FN,FP,FN,2481,none,1
381,False,TN,TN,TP,TN,1919,none,4
382,True,TP,TP,FP,TP,2256,none,3
383,True,TP,FN,TP,TP,2322,none,3
384,True,TP,TP,TP,TP,2198,none,4
385,False,TN,TN,TP,TN,2075,none,4
386,False,FP,TN,FP,TN,2433,none,2
387,False,FP,TN,FP,TN,2352,none,2
388,False,FP,TN,FP,FP,2275,none,1
389,True,TP,TP,FP,FN,2481,none,2
390,True,FN,TP,TP,TP,2395,none,3
391,False,TN,TN,TP,TN,2423,none,4
392,False,FP,TN,FP,TN,2352,none,2
393,False,TN,TN,FP,TN,2404,none,3
394,False,FP,TN,TN,FP,2340,none,2
395,False,FP,FP,TN,FP,2398,none,1
396,False,TN,TN,TN,FP,2350,none,3
398,False,FP,TN,FP,TN,2367,none,2
399,False,TN,TN,FP,FP,2395,none,2
400,False,TN,TN,FP,TN,2227,none,3
401,True,TP,TP,FP,TP,2245,none,3
402,False,TN,TN,TP,TN,2073,none,4
404,False,TN,TN,TP,FP,2299,none,3
405,False,FP,TN,FP,FP,2170,none,1
406,False,TN,TN,FP,TN,2240,none,3
407,False,TN,TN,FP,TN,2256,none,3
408,False,FP,TN,FP,TN,2229,none,2
409,True,FN,TP,FP,TP,2305,none,2
410,False,FP,TN,TP,TN,2413,none,3
411,True,TP,TP,FP,TP,2129,none,3
412,False,TN,TN,TP,TN,2249,none,4
413,False,TN,TN,FP,TN,1955,none,3
414,True,TP,FN,FP,TP,2329,none,2
415,False,FP,TN,TP,TN,2369,none,3
416,False,TN,TN,FP,TN,2062,none,3
417,True,TP,TP,FP,FN,2204,none,2
418,True,TP,FN,TP,FN,2266,none,2
419,True,TP,FN,FN,TP,2317,none,2
420,False,TN,TN,TP,TN,2326,none,4
421,True,FN,TP,FP,TP,2262,none,2
422,True,TP,TP,TP,TP,2407,none,4
423,False,FP,TN,TP,FP,2360,none,2
424,False,TN,TN,FP,TN,2358,none,3
425,True,TP,FN,FP,FN,2283,none,1
426,False,TN,TN,TP,FP,2296,none,3
427,False,TN,TN,FP,TN,1866,none,3
428,False,FP,TN,TN,FP,2271,none,2
429,False,TN,TN,TN,TN,2333,none,4
430,False,FP,TN,TN,TN,2318,none,3
431,False,TN,TN,FP,FP,2303,none,2
432,False,TN,TN,FP,TN,2178,none,3
433,False,FP,TN,TN,TN,2202,none,3
434,True,TP,FN,TN,FN,2465,none,2
435,False,FP,TN,TP,FP,2277,none,2
436,False,TN,TN,FP,TN,1940,none,3
437,False,FP,TN,FP,TN,2029,none,2
438,False,TN,TN,FP,TN,1969,none,3
439,False,FP,TN,FP,TN,2347,none,2
440,False,FP,TN,FP,TN,2249,none,2
441,False,TN,TN,FP,TN,2199,none,3
442,False,TN,TN,TN,TN,1869,none,4
443,False,TN,TN,FP,TN,2238,none,3
444,False,TN,TN,FP,TN,2180,none,3
445,False,TN,TN,FP,TN,2217,none,3
446,False,FP,TN,FP,TN,2347,none,2
447,False,TN,TN,FP,TN,2131,none,3
448,False,FP,TN,TN,FP,2123,none,2
449,False,TN,TN,FP,TN,2249,none,3
451,True,TP,TP,FP,TP,2400,none,3
452,False,FP,FP,TP,FP,2264,none,1
453,True,TP,TP,FP,TP,2386,none,3
454,False,TN,TN,TP,TN,2386,none,4
455,True,TP,FN,FP,TP,2243,none,2
456,False,TN,TN,TP,TN,2305,none,4
457,True,TP,FN,FP,TP,2154,none,2
458,False,TN,TN,TP,TN,2375,none,4
459,False,FP,TN,FP,TN,2146,none,2
460,True,TP,FN,FP,FN,1912,none,1
461,False,TN,TN,TP,TN,2261,none,4
462,True,FN,TP,FP,FN,2274,none,1
463,True,FN,FN,TP,TP,2380,none,2
465,False,FP,TN,TP,TN,2167,none,3
466,False,FP,TN,FP,TN,1974,none,2
467,False,FP,TN,FP,FP,2102,none,1
468,True,FN,TP,FP,TP,2350,none,2
469,False,FP,TN,TP,FP,2148,none,2
470,True,FN,FN,FP,TP,2216,none,1
471,False,TN,TN,TP,TN,2261,none,4
472,False,TN,TN,FP,TN,2108,none,3
473,False,TN,TN,TN,TN,2406,none,4
474,True,TP,FN,TN,TP,2078,none,3
475,False,TN,TN,TP,TN,2270,none,4
476,True,TP,FN,FP,FN,2256,none,1
478,False,FP,TN,TP,FP,2343,none,2
480,True,FN,FN,FP,TP,2308,none,1
481,True,TP,FN,FN,TP,2097,none,2
482,False,TN,TN,FN,TN,2332,none,3
483,False,FP,TN,TN,FP,2340,none,2
484,True,FN,FN,TN,TP,2311,none,2
485,True,TP,FN,FN,FN,2437,none,1
486,True,TP,FN,FN,TP,2188,none,2
487,True,TP,TP,TP,FN,2341,none,3
488,False,TN,TN,TP,TN,2428,none,4
489,False,TN,TN,FP,TN,2282,none,3
490,True,TP,TP,TN,TP,2216,none,4
491,True,TP,FN,FN,TP,2375,none,2
492,False,TN,TN,TP,TN,2224,none,4
493,False,FP,TN,FP,TN,2328,none,2
494,True,TP,FN,FP,TP,2436,none,2
495,True,TP,TP,TP,TP,2174,none,4
496,False,FP,TN,TP,TN,2221,none,3
497,False,FP,TN,FP,TN,2152,none,2
498,False,TN,TN,FP,TN,2322,none,3
499,True,TP,TP,FP,FN,2481,none,2
